Therapy Name,Primary Conditions,Duration (Minutes),Prakriti Suitability,Pre-requisites
Valukakizhi (Sand Bolus),"Deep-seated pain, Chronic arthritis, Severe stiffness, Cold-related disorders",35-40,"Vata-Kapha, Severe conditions","Clean sand preparation, Heating arrangement, Protective measures"
Kati Basti (Lower Back Treatment),"Lower back pain, Sciatica, Disc problems, Lumbar spondylosis, Hip joint issues",30-45,"Vata predominant, Vata-Kapha","Clean lower back area, Proper dough ring, Oil temperature check"
Janu Basti (Knee Treatment),"Knee pain, Osteoarthritis, Sports injuries, Joint inflammation, Mobility issues",30-45,"Vata predominant, Vata-Kapha","Clean knee area, Proper positioning, Warm oil preparation"
Greeva Basti (Neck Treatment),"Cervical spondylosis, Neck pain, Shoulder stiffness, Headaches, Nerve compression",25-35,"Vata predominant, Vata-Pitta","Neck area cleaning, Proper support, Oil temperature maintenance"
Kadee Vasti (Hip Treatment),"Hip pain, Sacral disorders, Lower back issues, Pelvic problems",30-40,Vata-Kapha predominant,"Hip area preparation, Positioning aids, Oil warming system"
Uro Basti (Chest Treatment),"Chest congestion, Respiratory issues, Heart conditions, Anxiety, Panic disorders",25-35,"Vata-Pitta, Kapha conditions","Chest area preparation, Breathing assessment, Warm oil ready"
Akshi Tarpana (Eye Treatment),"Eye strain, Dry eyes, Vision problems, Eye infections, Computer vision syndrome, Glaucoma",20-30,"Pitta predominant, All constitutions","Clean eyes, Medicated ghee preparation, Sterile environment"
Karna Purana (Ear Treatment),"Ear pain, Hearing problems, Tinnitus, Ear infections, Wax accumulation, Vertigo",15-20,"Vata predominant, All constitutions","Clean ears, Lukewarm oil, Proper positioning, Cotton swabs ready"
Gandusha (Oil Pulling),"Oral hygiene, Gum diseases, Bad breath, Throat infections, Dental problems",10-15,"Kapha-Pitta, All constitutions","Mouth cleaning, Oil preparation, Proper timing, Empty stomach"
Mukha Abhyanga (Face Massage),"Facial paralysis, TMJ disorders, Facial tension, Cosmetic enhancement",20-30,"Vata-Pitta, All constitutions","Face cleaning, Suitable oils, Comfortable positioning"
Abhyanga (Full Body Oil Massage),"Stress, Muscle tension, Joint pain, General wellness, Pre-therapy preparation, Circulation",45-60,"All constitutions, especially Vata","Clean body, Suitable oil temperature, Comfortable environment"
Udwartanam (Powder Massage),"Obesity, Cellulite, Poor circulation, Skin problems, Kapha excess, Lymphatic congestion",30-45,"Kapha predominant, Kapha-Pitta","Body preparation, Herbal powder ready, Upward stroke technique"
Garshana (Silk Glove Massage),"Poor circulation, Toxin accumulation, Skin problems, Sensory enhancement",20-30,All constitutions,"Silk glove preparation, Body cleaning, Dry skin condition"
Marma Chikitsa (Vital Point Therapy),"Chronic pain, Energy blockages, Vital point disorders, Nerve compression",30-45,"Vata predominant, All constitutions","Marma point identification, Gentle pressure technique, Expert knowledge"
Bashpa Sweda (Steam Therapy),"Joint stiffness, Muscle tension, Poor circulation, Toxin accumulation, Cold conditions",15-20,"Vata-Kapha, All constitutions","Steam chamber preparation, Herb selection, Temperature control"
Patra Pinda Sweda (Leaf Bolus Sweat),"Arthritis, Muscle pain, Joint disorders, Inflammatory conditions, Stiffness",25-35,"All constitutions, Vata-Kapha","Fresh leaves, Oil heating, Proper bolus preparation"
Upnaha Swedam (Poultice Therapy),"Localized pain, Joint swelling, Muscle spasms, Sports injuries",20-30,"Vata predominant, All constitutions","Poultice preparation, Heating arrangement, Local area cleaning"
Valuka Sweda (Sand Bath Therapy),"Deep-seated arthritis, Chronic pain, Cold-related disorders, Joint stiffness",30-40,"Vata-Kapha, Cold conditions","Sand heating, Temperature control, Protective covering"
Shiropchu (Oil Therapy on Head),"Scalp disorders, Hair problems, Mental stress, Headaches, Insomnia",20-30,"Vata-Pitta, All constitutions","Scalp preparation, Oil selection, Head support arrangement"
Thalam (Medicated Paste on Head),"Hair fall, Dandruff, Scalp infections, Mental stress, Concentration issues",15-20,All constitutions,"Scalp cleaning, Herbal paste preparation, Proper mixing"
Sirovasti (Oil Pooling on Head),"Severe headaches, Mental disorders, Neurological problems, Hair loss, Insomnia",30-45,"Vata predominant, Vata-Pitta","Head massage, Oil warming, Cap fitting, Time monitoring"
Shiro Lepa (Herbal Head Pack),"Scalp problems, Hair disorders, Dandruff, Premature graying, Stress",20-25,All constitutions,"Scalp assessment, Herbal pack preparation, Application technique"
Mukha Lepam (Face Pack),"Acne, Pigmentation, Aging signs, Skin dullness, Facial rejuvenation",30-45,"Pitta-Kapha, All constitutions","Face cleaning, Skin assessment, Herbal paste preparation"
Skin Whitening Treatment,"Dark spots, Uneven skin tone, Pigmentation, Melasma, Sun damage",45-60,"Pitta predominant, All constitutions","Skin analysis, Whitening agent preparation, Patch testing"
Hair Pack Treatment,"Hair fall, Dandruff, Dry hair, Damaged hair, Scalp disorders",30-45,All constitutions,"Hair assessment, Oil preparation, Scalp cleaning"
Pre-Bridal Treatment Package,"Pre-wedding glow, Skin brightening, Hair enhancement, Stress relief, Beauty boost",90-120,All constitutions,"Complete beauty assessment, Multiple treatment planning"
Anti-Aging Facial Therapy,"Wrinkles, Fine lines, Aging signs, Skin sagging, Loss of elasticity",45-60,"Vata-Pitta, All constitutions","Skin analysis, Age assessment, Anti-aging preparation"
Herbal Foot Care Therapy,"Foot pain, Cracked heels, Poor circulation, Diabetic foot, Plantar fasciitis",30-45,"Vata predominant, All constitutions","Foot cleaning, Warm water, Herbal preparation, Nail care"
Pada Abhyanga (Foot Massage),"Foot fatigue, Poor circulation, Nerve problems, Stress relief, Insomnia",20-30,"Vata predominant, All constitutions","Foot washing, Oil warming, Comfortable seating"
Janu Marma (Knee Point Therapy),"Knee disorders, Joint pain, Circulation issues, Nerve problems",15-20,"Vata-Kapha, All constitutions","Knee examination, Point identification, Gentle pressure"
Hasta Abhyanga (Hand Massage),"Hand pain, Carpal tunnel, Poor circulation, Joint stiffness, Nerve issues",20-25,"Vata predominant, All constitutions","Hand cleaning, Joint assessment, Oil preparation"
Kashaya Dhara (Herbal Decoction Bath),"Skin disorders, Joint pain, Muscle weakness, Circulation problems, General debility",20-30,All constitutions,"Herbal decoction preparation, Temperature control, Bath setup"
Ksheera Dhara (Milk Therapy),"Skin problems, Nervous disorders, Insomnia, Stress, Nutritional deficiencies",25-35,"Vata-Pitta, All constitutions","Milk preparation, Temperature regulation, Clean environment"
Dhanyamla Dhara (Fermented Grain Bath),"Obesity, Digestive disorders, Joint pain, Muscle weakness, Poor circulation",20-25,"Kapha predominant, All constitutions","Fermented liquid preparation, Proper dilution, Temperature check"
Taila Dhara (Medicated Oil Bath),"Neurological disorders, Muscle weakness, Joint pain, Stress, General debility",30-40,"Vata predominant, All constitutions","Oil heating, Bath preparation, Temperature maintenance"
Lepam (Herbal Paste Application),"Localized inflammation, Skin disorders, Joint swelling, Muscle pain, Sports injuries",20-30,All constitutions,"Area cleaning, Herbal paste preparation, Application technique"
Picchu (Oil-soaked cloth treatment),"Localized pain, Joint disorders, Muscle spasms, Nerve compression, Targeted therapy",25-35,"Vata predominant, All constitutions","Oil-soaked cloth preparation, Area cleaning, Proper positioning"
Nadi Sweda (Localized Steam),"Respiratory congestion, Sinus problems, Localized stiffness, Targeted pain relief",10-15,"Vata-Kapha, All constitutions","Steam equipment setup, Localized application, Safety measures"
Churna Pinda Sweda (Medicated Powder Bolus),"Muscle pain, Joint stiffness, Arthritis, Inflammatory conditions, Sports injuries",25-30,"Vata-Kapha, All constitutions","Powder bolus preparation, Heating arrangement, Area preparation"
Panchakarma Detox Package,"Complete detoxification, Multiple health issues, Chronic diseases, General wellness",120-180,All constitutions,"Complete health assessment, Multi-therapy planning, Facility preparation"
Stress Relief Combo Therapy,"Stress disorders, Anxiety, Depression, Insomnia, Mental fatigue, Burnout",90-120,"Vata-Pitta, All constitutions","Stress evaluation, Therapy selection, Environment setup"
Weight Loss Therapy Package,"Obesity, Metabolic disorders, Poor digestion, Sluggish metabolism, Weight management",60-90,"Kapha predominant, All constitutions","Weight analysis, Diet planning, Multi-modal preparation"
Immunity Booster Treatment,"Low immunity, Frequent infections, Chronic fatigue, Autoimmune disorders",45-75,All constitutions,"Immunity assessment, Therapy combination, Health monitoring"
Pain Management Protocol,"Chronic pain conditions, Arthritis, Fibromyalgia, Multiple pain points, Injury recovery",60-90,"Vata predominant, All constitutions","Pain evaluation, Multi-therapy approach, Recovery planning"
